Year,Series_conference,Series_round,Date_start,Date_end,Team_win,Seed_win,Wins_win,Team_lose,Seed_lose,Wins_lose,Fav_team,Fav_odds,Underdog_team,Underdog_odds
1980,E,2,1980-04-06,1980-04-15,Philadelphia 76ers,3,4,Atlanta Hawks,2,1,NA,0,NA,0
1980,W,2,1980-04-08,1980-04-15,Los Angeles Lakers,1,4,Phoenix Suns,4,1,NA,0,NA,0
1980,W,2,1980-04-08,1980-04-20,Seattle SuperSonics,3,4,Milwaukee Bucks,2,3,NA,0,NA,0
1980,E,1,1980-04-18,1980-04-27,Philadelphia 76ers,3,4,Boston Celtics,1,1,NA,0,NA,0
1980,W,1,1980-04-22,1980-04-30,Los Angeles Lakers,1,4,Seattle SuperSonics,3,1,NA,0,NA,0
1980,F,0,1980-05-04,1980-05-16,Los Angeles Lakers,1,4,Philadelphia 76ers,3,2,NA,0,NA,0
1979,E,3,1979-04-11,1979-04-13,Atlanta Hawks,5,2,Houston Rockets,4,0,NA,0,NA,0
1979,E,3,1979-04-11,1979-04-13,Philadelphia 76ers,3,2,New Jersey Nets,6,0,NA,0,NA,0
1979,W,3,1979-04-10,1979-04-15,Los Angeles Lakers,5,2,Denver Nuggets,4,1,NA,0,NA,0
1979,W,3,1979-04-10,1979-04-15,Phoenix Suns,3,2,Portland Trail Blazers,6,1,NA,0,NA,0
1979,E,2,1979-04-15,1979-05-02,San Antonio Spurs,2,4,Philadelphia 76ers,3,3,NA,0,NA,0
1979,E,2,1979-04-15,1979-04-29,Washington Bullets,1,4,Atlanta Hawks,5,3,NA,0,NA,0
1979,W,2,1979-04-17,1979-04-27,Phoenix Suns,3,4,Kansas City Kings,2,1,NA,0,NA,0
1979,W,2,1979-04-17,1979-04-25,Seattle SuperSonics,1,4,Los Angeles Lakers,5,1,NA,0,NA,0
1979,E,1,1979-05-04,1979-05-18,Washington Bullets,1,4,San Antonio Spurs,2,3,NA,0,NA,0
1979,W,1,1979-05-01,1979-05-17,Seattle SuperSonics,1,4,Phoenix Suns,3,3,NA,0,NA,0
1979,F,0,1979-05-20,1979-06-01,Seattle SuperSonics,1,4,Washington Bullets,1,1,NA,0,NA,0
1978,E,3,1978-04-12,1978-04-14,New York Knicks,5,2,Cleveland Cavaliers,4,0,NA,0,NA,0
1978,E,3,1978-04-12,1978-04-14,Washington Bullets,3,2,Atlanta Hawks,6,0,NA,0,NA,0
1978,W,3,1978-04-11,1978-04-14,Milwaukee Bucks,6,2,Phoenix Suns,3,0,NA,0,NA,0
1978,W,3,1978-04-12,1978-04-16,Seattle SuperSonics,4,2,Los Angeles Lakers,5,1,NA,0,NA,0
1978,E,2,1978-04-16,1978-04-23,Philadelphia 76ers,1,4,New York Knicks,5,0,NA,0,NA,0
1978,E,2,1978-04-16,1978-04-28,Washington Bullets,3,4,San Antonio Spurs,2,2,NA,0,NA,0
1978,W,2,1978-04-18,1978-05-03,Denver Nuggets,2,4,Milwaukee Bucks,6,3,NA,0,NA,0
1978,W,2,1978-04-18,1978-05-01,Seattle SuperSonics,4,4,Portland Trail Blazers,1,2,NA,0,NA,0
1978,E,1,1978-04-30,1978-05-12,Washington Bullets,3,4,Philadelphia 76ers,1,2,NA,0,NA,0
1978,W,1,1978-05-05,1978-05-17,Seattle SuperSonics,4,4,Denver Nuggets,2,2,NA,0,NA,0
1978,F,0,1978-05-21,1978-06-07,Washington Bullets,3,4,Seattle SuperSonics,4,3,NA,0,NA,0
1977,E,3,1977-04-12,1977-04-15,Boston Celtics,4,2,San Antonio Spurs,5,0,NA,0,NA,0
1977,E,3,1977-04-13,1977-04-17,Washington Bullets,3,2,Cleveland Cavaliers,6,1,NA,0,NA,0
1977,W,3,1977-04-12,1977-04-17,Golden State Warriors,4,2,Detroit Pistons,5,1,NA,0,NA,0
1977,W,3,1977-04-12,1977-04-17,Portland Trail Blazers,3,2,Chicago Bulls,6,1,NA,0,NA,0
1977,E,2,1977-04-19,1977-05-01,Houston Rockets,2,4,Washington Bullets,3,2,NA,0,NA,0
1977,E,2,1977-04-17,1977-05-01,Philadelphia 76ers,1,4,Boston Celtics,4,3,NA,0,NA,0
1977,W,2,1977-04-20,1977-05-04,Los Angeles Lakers,1,4,Golden State Warriors,4,3,NA,0,NA,0
1977,W,2,1977-04-20,1977-05-02,Portland Trail Blazers,3,4,Denver Nuggets,2,2,NA,0,NA,0
1977,E,1,1977-05-05,1977-05-17,Philadelphia 76ers,1,4,Houston Rockets,2,2,NA,0,NA,0
1977,W,1,1977-05-06,1977-05-13,Portland Trail Blazers,3,4,Los Angeles Lakers,1,0,NA,0,NA,0
1977,F,0,1977-05-22,1977-06-05,Portland Trail Blazers,3,4,Philadelphia 76ers,1,2,NA,0,NA,0
1976,E,3,1976-04-15,1976-04-18,Buffalo Braves,5,2,Philadelphia 76ers,4,1,NA,0,NA,0
1976,W,3,1976-04-13,1976-04-18,Detroit Pistons,5,2,Milwaukee Bucks,4,1,NA,0,NA,0
1976,E,2,1976-04-21,1976-05-02,Boston Celtics,1,4,Buffalo Braves,5,2,NA,0,NA,0
1976,E,2,1976-04-13,1976-04-29,Cleveland Cavaliers,2,4,Washington Bullets,3,3,NA,0,NA,0
1976,W,2,1976-04-20,1976-04-30,Golden State Warriors,1,4,Detroit Pistons,5,2,NA,0,NA,0
1976,W,2,1976-04-13,1976-04-27,Phoenix Suns,3,4,Seattle SuperSonics,2,2,NA,0,NA,0
1976,E,1,1976-05-06,1976-05-18,Boston Celtics,1,4,Cleveland Cavaliers,2,2,NA,0,NA,0
1976,W,1,1976-05-02,1976-05-16,Phoenix Suns,3,4,Golden State Warriors,1,3,NA,0,NA,0
1976,F,0,1976-05-23,1976-06-06,Boston Celtics,1,4,Phoenix Suns,3,2,NA,0,NA,0
1975,E,3,1975-04-08,1975-04-12,Houston Rockets,4,2,New York Knicks,5,1,NA,0,NA,0
1975,W,3,1975-04-08,1975-04-12,Seattle SuperSonics,4,2,Detroit Pistons,5,1,NA,0,NA,0
1975,E,2,1975-04-14,1975-04-24,Boston Celtics,1,4,Houston Rockets,4,1,NA,0,NA,0
1975,E,2,1975-04-10,1975-04-25,Washington Bullets,2,4,Buffalo Braves,3,3,NA,0,NA,0
1975,W,2,1975-04-09,1975-04-23,Chicago Bulls,2,4,Kansas City-Omaha Kings,3,2,NA,0,NA,0
1975,W,2,1975-04-14,1975-04-24,Golden State Warriors,1,4,Seattle SuperSonics,4,2,NA,0,NA,0
1975,E,1,1975-04-27,1975-05-11,Washington Bullets,2,4,Boston Celtics,1,2,NA,0,NA,0
1975,W,1,1975-04-27,1975-05-14,Golden State Warriors,1,4,Chicago Bulls,2,3,NA,0,NA,0
1975,F,0,1975-05-18,1975-05-25,Golden State Warriors,1,4,Washington Bullets,2,0,NA,0,NA,0
1974,E,2,1974-03-30,1974-04-12,Boston Celtics,1,4,Buffalo Braves,4,2,NA,0,NA,0
1974,E,2,1974-03-29,1974-04-12,New York Knicks,2,4,Capital Bullets,3,3,NA,0,NA,0
1974,W,2,1974-03-30,1974-04-13,Chicago Bulls,2,4,Detroit Pistons,3,3,NA,0,NA,0
1974,W,2,1974-03-29,1974-04-07,Milwaukee Bucks,1,4,Los Angeles Lakers,4,1,NA,0,NA,0
1974,E,1,1974-04-14,1974-04-24,Boston Celtics,1,4,New York Knicks,2,1,NA,0,NA,0
1974,W,1,1974-04-16,1974-04-22,Milwaukee Bucks,1,4,Chicago Bulls,2,0,NA,0,NA,0
1974,F,0,1974-04-28,1974-05-12,Boston Celtics,1,4,Milwaukee Bucks,1,3,NA,0,NA,0
1973,E,2,1973-04-01,1973-04-13,Boston Celtics,1,4,Atlanta Hawks,4,2,NA,0,NA,0
1973,E,2,1973-03-30,1973-04-08,New York Knicks,2,4,Baltimore Bullets,3,1,NA,0,NA,0
1973,W,2,1973-03-30,1973-04-13,Golden State Warriors,4,4,Milwaukee Bucks,1,2,NA,0,NA,0
1973,W,2,1973-03-30,1973-04-15,Los Angeles Lakers,2,4,Chicago Bulls,3,3,NA,0,NA,0
1973,E,1,1973-04-15,1973-04-29,New York Knicks,2,4,Boston Celtics,1,3,NA,0,NA,0
1973,W,1,1973-04-17,1973-04-25,Los Angeles Lakers,2,4,Golden State Warriors,4,1,NA,0,NA,0
1973,F,0,1973-05-01,1973-05-10,New York Knicks,2,4,Los Angeles Lakers,2,1,NA,0,NA,0
1972,E,2,1972-03-29,1972-04-09,Boston Celtics,1,4,Atlanta Hawks,2,2,NA,0,NA,0
1972,E,2,1972-03-31,1972-04-11,New York Knicks,2,4,Baltimore Bullets,1,2,NA,0,NA,0
1972,W,2,1972-03-28,1972-04-04,Los Angeles Lakers,1,4,Chicago Bulls,2,0,NA,0,NA,0
1972,W,2,1972-03-28,1972-04-06,Milwaukee Bucks,1,4,Golden State Warriors,2,1,NA,0,NA,0
1972,E,1,1972-04-13,1972-04-23,New York Knicks,2,4,Boston Celtics,1,1,NA,0,NA,0
1972,W,1,1972-04-09,1972-04-22,Los Angeles Lakers,1,4,Milwaukee Bucks,1,2,NA,0,NA,0
1972,F,0,1972-04-26,1972-05-07,Los Angeles Lakers,1,4,New York Knicks,2,1,NA,0,NA,0
1971,E,2,1971-03-24,1971-04-04,Baltimore Bullets,1,4,Philadelphia 76ers,2,3,NA,0,NA,0
1971,E,2,1971-03-25,1971-04-01,New York Knicks,1,4,Atlanta Hawks,2,1,NA,0,NA,0
1971,W,2,1971-03-24,1971-04-06,Los Angeles Lakers,1,4,Chicago Bulls,2,3,NA,0,NA,0
1971,W,2,1971-03-27,1971-04-04,Milwaukee Bucks,1,4,San Francisco Warriors,2,1,NA,0,NA,0
1971,E,1,1971-04-06,1971-04-19,Baltimore Bullets,1,4,New York Knicks,1,3,NA,0,NA,0
1971,W,1,1971-04-09,1971-04-18,Milwaukee Bucks,1,4,Los Angeles Lakers,1,1,NA,0,NA,0
1971,F,0,1971-04-21,1971-04-30,Milwaukee Bucks,1,4,Baltimore Bullets,1,0,NA,0,NA,0
