country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Argentina,Slovenia,100,118,2607,4,Luís Scola,27:07,23,9/18,9/14,0/4,5/7,1,3,4,1,3,1,0,1,-26,17
Argentina,Slovenia,100,118,2607,7,Facundo Campazzo,29:00,21,7/16,4/6,3/10,4/5,2,4,6,4,3,2,3,0,-16,22
Argentina,Slovenia,100,118,2607,8,Nicolás Laprovittola,14:20,8,2/4,2/2,0/2,4/4,0,1,1,2,3,3,1,0,-2,7
Argentina,Slovenia,100,118,2607,9,Nicolas Brussino,15:15,5,2/4,1/2,1/2,0/0,0,0,0,2,3,0,0,1,4,6
Argentina,Slovenia,100,118,2607,10,Leandro Bolmaro,13:35,2,1/3,1/2,0/1,0/0,0,0,0,1,2,0,0,0,-4,1
Argentina,Slovenia,100,118,2607,11,Francisco Caffaro,04:27,0,0/0,0/0,0/0,0/0,0,0,0,0,3,0,0,0,0,0
Argentina,Slovenia,100,118,2607,12,Marcos Delia,16:44,7,2/4,2/4,0/0,3/3,2,3,5,1,1,0,2,0,-12,13
Argentina,Slovenia,100,118,2607,14,Gabriel Deck,26:35,17,8/17,7/11,1/6,0/0,1,7,8,2,4,3,1,0,-3,16
Argentina,Slovenia,100,118,2607,17,Luca Vildoza,23:05,11,3/8,3/5,0/3,5/6,0,3,3,5,1,0,3,0,-14,16
Argentina,Slovenia,100,118,2607,22,Juan Pablo Vaulet,07:00,4,2/3,2/3,0/0,0/0,0,2,2,0,0,0,2,0,0,7
Argentina,Slovenia,100,118,2607,29,Patricio Garino,22:52,2,1/6,1/3,0/3,0/0,0,0,0,2,3,1,0,0,-17,-2
Argentina,Slovenia,100,118,2607,83,Tayavek Gallizzi,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Slovenia,Argentina,118,100,2607,5,Luka Rupnik,10:59,4,1/4,0/0,1/4,1/2,0,1,1,4,1,2,0,0,-14,3
Slovenia,Argentina,118,100,2607,6,Aleksej Nikolic,04:21,3,1/1,0/0,1/1,0/0,0,0,0,1,2,1,0,0,9,3
Slovenia,Argentina,118,100,2607,7,Klemen Prepelic,21:36,22,6/8,2/2,4/6,6/7,2,2,4,2,4,2,0,0,5,23
Slovenia,Argentina,118,100,2607,8,Edo Murić,16:04,3,1/4,0/0,1/4,0/0,0,5,5,1,5,2,0,0,-5,4
Slovenia,Argentina,118,100,2607,10,Mike Tobey,27:42,11,5/8,5/6,0/2,1/1,2,12,14,1,5,1,0,0,33,22
Slovenia,Argentina,118,100,2607,11,Jaka Blažič,27:07,3,1/6,0/3,1/3,0/0,1,4,5,1,2,3,0,1,8,2
Slovenia,Argentina,118,100,2607,15,Gregor Hrovat,03:33,0,0/0,0/0,0/0,0/0,0,0,0,0,1,0,0,0,-4,0
Slovenia,Argentina,118,100,2607,27,Žiga Dimec,07:51,5,2/4,2/4,0/0,1/4,3,4,7,1,2,1,0,0,-7,7
Slovenia,Argentina,118,100,2607,30,Zoran Dragic,21:17,7,2/7,1/4,1/3,2/5,3,1,4,0,1,0,1,0,16,4
Slovenia,Argentina,118,100,2607,31,Vlatko Cancar,26:31,12,5/12,4/7,1/5,1/1,1,4,5,1,2,1,2,0,22,12
Slovenia,Argentina,118,100,2607,55,Jakob Cebasek,01:52,0,0/1,0/0,0/1,0/0,0,0,0,0,1,0,0,0,-7,-1
Slovenia,Argentina,118,100,2607,77,Luka Doncic,31:07,48,18/29,12/15,6/14,6/7,3,8,11,5,3,6,0,3,34,49
Nigeria,Germany,92,99,2807,0,KZ Okpala,22:01,5,2/2,2/2,0/0,1/2,0,6,6,2,2,1,5,0,-4,16
Nigeria,Germany,92,99,2807,3,Caleb Agada,04:57,6,2/3,0/1,2/2,0/0,0,0,0,0,1,0,0,0,-2,5
Nigeria,Germany,92,99,2807,8,Ekpe Udoh,07:37,2,0/1,0/1,0/0,2/4,0,1,1,1,2,1,0,1,4,1
Nigeria,Germany,92,99,2807,10,Chimezie Metu,12:46,3,1/4,0/1,1/3,0/0,2,3,5,2,1,1,1,2,-4,9
Nigeria,Germany,92,99,2807,11,Obi Emegano,19:16,2,1/5,1/3,0/2,0/0,1,0,1,6,3,1,0,0,10,4
Nigeria,Germany,92,99,2807,13,Miye Oni,21:00,15,5/7,0/1,5/6,0/0,1,1,2,1,2,3,0,0,-1,13
Nigeria,Germany,92,99,2807,15,Jahlil Okafor,13:32,9,3/4,3/4,0/0,3/3,1,1,2,1,3,4,0,0,-6,7
Nigeria,Germany,92,99,2807,20,Josh Okogie,16:03,0,0/2,0/2,0/0,0/0,0,0,0,3,1,1,2,0,-18,2
Nigeria,Germany,92,99,2807,22,Nnamdi Vincent,23:23,8,3/11,1/1,2/10,0/0,0,0,0,3,4,0,1,0,1,4
