country,vs,team_score,vs_score,#,Players,Pts,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF,FGS,FGA,2PtsS,2PtsA,3PtsS,3PtsA,FTS,FTA,day,month,Sec
France,USA,83,76,28,Petr Cornelie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,07,90
France,USA,83,76,93,Moustapha Fall,7,0,4,4,0,2,2,0,0,3,7,1,2,1,2,0,0,5,6,25,07,679
USA,France,76,83,4,Keldon Johnson,0,0,1,1,1,1,0,0,0,-11,1,0,1,0,1,0,0,0,0,25,07,558
USA,France,76,83,5,Zach Lavine,8,2,0,2,3,3,1,0,0,-7,9,3,6,1,2,2,4,0,0,25,07,1095
USA,France,76,83,6,Damian  Lillard,11,1,2,3,3,2,4,1,0,0,6,3,10,0,1,3,9,2,3,25,07,1668
USA,France,76,83,7,Kevin Durant,10,0,2,2,2,5,0,0,0,2,6,4,12,3,6,1,6,1,1,25,07,1240
USA,France,76,83,8,Khris Middleton,0,0,1,1,1,0,0,1,0,0,1,0,2,0,2,0,0,0,0,25,07,327
USA,France,76,83,9,Jerami Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,07,0
USA,France,76,83,10,Jayson  Tatum,9,0,1,1,0,2,2,0,2,2,4,3,9,2,4,1,5,2,2,25,07,1422
USA,France,76,83,11,Javale McGee,2,1,0,1,0,1,0,0,0,-2,2,0,1,0,1,0,0,2,2,25,07,115
USA,France,76,83,12,Jrue Holiday,18,3,4,7,4,2,1,1,0,-2,20,5,13,2,7,3,6,5,6,25,07,1672
USA,France,76,83,13,Bam Adebayo,12,4,6,10,2,3,2,2,1,-6,20,5,8,5,8,0,0,2,4,25,07,1523
USA,France,76,83,14,Draymond Green,2,0,2,2,4,4,0,2,1,-3,11,1,1,1,1,0,0,0,0,25,07,1270
USA,France,76,83,15,Devin Booker,4,0,2,2,3,2,2,1,0,-8,2,1,6,1,4,0,2,2,3,25,07,1110
Argentina,Slovenia,100,118,4,Luís Scola,23,1,3,4,1,3,1,0,1,-26,17,9,18,9,14,0,4,5,7,26,07,1627
Argentina,Slovenia,100,118,7,Facundo Campazzo,21,2,4,6,4,3,2,3,0,-16,22,7,16,4,6,3,10,4,5,26,07,1740
Argentina,Slovenia,100,118,8,Nicolás Laprovittola,8,0,1,1,2,3,3,1,0,-2,7,2,4,2,2,0,2,4,4,26,07,860
Argentina,Slovenia,100,118,9,Nicolas Brussino,5,0,0,0,2,3,0,0,1,4,6,2,4,1,2,1,2,0,0,26,07,915
Argentina,Slovenia,100,118,10,Leandro Bolmaro,2,0,0,0,1,2,0,0,0,-4,1,1,3,1,2,0,1,0,0,26,07,815
Argentina,Slovenia,100,118,11,Francisco Caffaro,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,07,267
Argentina,Slovenia,100,118,12,Marcos Delia,7,2,3,5,1,1,0,2,0,-12,13,2,4,2,4,0,0,3,3,26,07,1004
Argentina,Slovenia,100,118,14,Gabriel Deck,17,1,7,8,2,4,3,1,0,-3,16,8,17,7,11,1,6,0,0,26,07,1595
Argentina,Slovenia,100,118,17,Luca Vildoza,11,0,3,3,5,1,0,3,0,-14,16,3,8,3,5,0,3,5,6,26,07,1385
Argentina,Slovenia,100,118,22,Juan Pablo Vaulet,4,0,2,2,0,0,0,2,0,0,7,2,3,2,3,0,0,0,0,26,07,420
Argentina,Slovenia,100,118,29,Patricio Garino,2,0,0,0,2,3,1,0,0,-17,-2,1,6,1,3,0,3,0,0,26,07,1372
Argentina,Slovenia,100,118,83,Tayavek Gallizzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,07,0
Slovenia,Argentina,118,100,5,Luka Rupnik,4,0,1,1,4,1,2,0,0,-14,3,1,4,0,0,1,4,1,2,26,07,659
Slovenia,Argentina,118,100,6,Aleksej Nikolic,3,0,0,0,1,2,1,0,0,9,3,1,1,0,0,1,1,0,0,26,07,261
Slovenia,Argentina,118,100,7,Klemen Prepelic,22,2,2,4,2,4,2,0,0,5,23,6,8,2,2,4,6,6,7,26,07,1296
Slovenia,Argentina,118,100,8,Edo Murić,3,0,5,5,1,5,2,0,0,-5,4,1,4,0,0,1,4,0,0,26,07,964
Slovenia,Argentina,118,100,10,Mike Tobey,11,2,12,14,1,5,1,0,0,33,22,5,8,5,6,0,2,1,1,26,07,1662
Slovenia,Argentina,118,100,11,Jaka Blažič,3,1,4,5,1,2,3,0,1,8,2,1,6,0,3,1,3,0,0,26,07,1627
Slovenia,Argentina,118,100,15,Gregor Hrovat,0,0,0,0,0,1,0,0,0,-4,0,0,0,0,0,0,0,0,0,26,07,213
Slovenia,Argentina,118,100,27,Žiga Dimec,5,3,4,7,1,2,1,0,0,-7,7,2,4,2,4,0,0,1,4,26,07,471
Slovenia,Argentina,118,100,30,Zoran Dragic,7,3,1,4,0,1,0,1,0,16,4,2,7,1,4,1,3,2,5,26,07,1277
Slovenia,Argentina,118,100,31,Vlatko Cancar,12,1,4,5,1,2,1,2,0,22,12,5,12,4,7,1,5,1,1,26,07,1591
Slovenia,Argentina,118,100,55,Jakob Cebasek,0,0,0,0,0,1,0,0,0,-7,-1,0,1,0,0,0,1,0,0,26,07,112
Slovenia,Argentina,118,100,77,Luka Doncic,48,3,8,11,5,3,6,0,3,34,49,18,29,12,15,6,14,6,7,26,07,1867
Nigeria,Germany,92,99,0,KZ Okpala,5,0,6,6,2,2,1,5,0,-4,16,2,2,2,2,0,0,1,2,28,07,1321
Nigeria,Germany,92,99,3,Caleb Agada,6,0,0,0,0,1,0,0,0,-2,5,2,3,0,1,2,2,0,0,28,07,297
Nigeria,Germany,92,99,8,Ekpe Udoh,2,0,1,1,1,2,1,0,1,4,1,0,1,0,1,0,0,2,4,28,07,457
